country,id,name,level
ES,ES-GC,Лас-Пальмас-де-Ґран-Канарія,province
ES,ES-LE,Леон,province
ES,ES-L,Льєйда,province
ES,ES-LU,Луґо,province
ES,ES-MD,Мадрид,autonomous community
ES,ES-ML,Мелілья,autonomous city
ES,ES-MC,Мурсія,autonomous community
ES,ES-MA,Малага,province
ES,ES-NC,Наварра,autonomous community
ES,ES-OR,Оренсе,province
ES,ES-P,Паленсія,province
ES,ES-PO,Понтеведра,province
ES,ES-SA,Саламанка,province
ES,ES-TF,Санта-Крус-де-Тенеріфе,province
ES,ES-SG,Сеговія,province
ES,ES-SE,Севілья,province
ES,ES-SO,Сорія,province
ES,ES-T,Таррагона,province
ES,ES-TE,Теруель,province
ES,ES-V,Валенсія,province
ES,ES-VC,Валенсія,autonomous community
ES,ES-VA,Вальядолід,province
ES,ES-Z,Сарагоса,province
ES,ES-VI,Алава,province
SE,SE-K,Блекінґе,county
SE,SE-W,Даларна,county
SE,SE-I,Ґотланд,county
SE,SE-X,Євлеборй,county
SE,SE-N,Галланд,county
SE,SE-Z,Емтланд,county
SE,SE-F,Йончопінґ,county
SE,SE-H,Кальмар,county
SE,SE-G,Кроноберй,county
SE,SE-BD,Норрботтен,county
SE,SE-M,Сконе,county
SE,SE-AB,Стокгольм,county
SE,SE-D,Седерманланд,county
SE,SE-C,Уппсала,county
SE,SE-S,Вермланд,county
SE,SE-AC,Вестерботтен,county
SE,SE-Y,Вестерноррланд,county
SE,SE-U,Вестманланд,county
SE,SE-O,Вестра Йоталанд,county
SE,SE-T,Еребру,county
SE,SE-E,Естерйотланд,county
CH,CH-AG,Ааргау,canton
CH,CH-AR,Аппенцелль — Ауссерроден,canton
CH,CH-AI,Аппенцелль — Іннерроден,canton
CH,CH-BL,Базель-Ланд,canton
CH,CH-BS,Базель-Штадт,canton
CH,CH-BE,Берн,canton
CH,CH-FR,Фрібур,canton
CH,CH-GL,Гларус,canton
CH,CH-GR,Граубюнден,canton
CH,CH-JU,Юра,canton
CH,CH-NE,Невшатель,canton
CH,CH-NW,Нідвальден,canton
CH,CH-OW,Обвальден,canton
CH,CH-SH,Шаффгаузен,canton
CH,CH-SO,Золотурн,canton
CH,CH-TG,Тургау,canton
CH,CH-TI,Тічино,canton
CH,CH-UR,Урі,canton
CH,CH-VS,Вале,canton
CH,CH-VD,Во,canton
CH,CH-ZG,Цуг,canton
CH,CH-GE,Женева,canton
CH,CH-LU,Люцерн,canton
CH,CH-ZH,Цюрих,canton
UA,UA-71,Черкаська область,region
UA,UA-74,Чернігівська область,region
UA,UA-77,Чернівецька область,region
UA,UA-43,Кримський півострів,autonomous republic
UA,UA-12,Дніпропетровська область,region
UA,UA-14,Донецька область,region
UA,UA-26,Івано-Франківська область,region
UA,UA-63,Харківська область,region
UA,UA-65,Херсонська область,region
UA,UA-68,Хмельницька область,region
UA,UA-30,Київ,region
UA,UA-32,Київська область,region
UA,UA-35,Кіровоградська область,region
UA,UA-09,Луганська область,region
UA,UA-46,Львівська область,region
UA,UA-48,Миколаївська область,region
UA,UA-51,Одеська область,region
UA,UA-53,Полтавська область,region
UA,UA-56,Рівненська область,region
UA,UA-40,Севастополь,region
UA,UA-59,Сумська область,region
UA,UA-61,Тернопільська область,region
UA,UA-05,Вінницька область,region
UA,UA-07,Волинська область,region
UA,UA-21,Закарпатська область,region
UA,UA-23,Запорізька область,region
UA,UA-18,Житомирська область,region
GB,GB-ABE,Абердин,council area (scotland)
GB,GB-ABD,Абердиншир,council area (scotland)
GB,GB-ANS,Ангус,council area (scotland)
GB,GB-BNS,Барнслі,metropolitan district
GB,GB-BDF,Бедфордшир,unitary authority
GB,GB-BFS,Белфаст,district council area (northern ireland)
GB,GB-BIR,Бірмінгем,metropolitan district
GB,GB-BPL,Блекпул,unitary authority
GB,GB-BGW,Бланау-Гвент,unitary authority (wales)
GB,GB-BOL,Болтон,metropolitan district
GB,GB-BMH,Борнмут,unitary authority
GB,GB-BRD,Бредфорд,metropolitan district
GB,GB-BST,Бристоль,unitary authority
GB,GB-BRY,Бромлі,borough
GB,GB-BKM,Бакінгемшир,two-tier county
GB,GB-BUR,Бері,metropolitan district
GB,GB-CAY,Карфіллі,unitary authority (wales)
GB,GB-CAM,Кембриджшир,two-tier county
GB,GB-CRF,Кардіфф,unitary authority (wales)
GB,GB-CMN,Кармартеншир,unitary authority (wales)
GB,GB-CGN,Кередігіон,unitary authority (wales)
GB,GB-CHS,Чешир,
GB,GB-CLK,Клакманнаншир,council area (scotland)
GB,GB-CLR,Колрейн,district council area (northern ireland)
GB,GB-CWY,Конві,unitary authority (wales)
GB,GB-CON,Корнуол,unitary authority
GB,GB-COV,Ковентрі,metropolitan district
GB,GB-BDG,Баркінг і Дагенем,borough
GB,GB-FER,Фермана,district council area (northern ireland)
GB,GB-CMA,Камбрія,two-tier county
GB,GB-DEN,Денбігшир,unitary authority (wales)
GB,GB-DER,Дербі,unitary authority
GB,GB-DBY,Дербішир,two-tier county
GB,GB-DRY,Деррі,district council area (northern ireland)
GB,GB-DEV,Девон,two-tier county
GB,GB-DNC,Донкастер,metropolitan district
GB,GB-DOR,Дорсет,two-tier county
GB,GB-DUD,Дадлі,metropolitan district
GB,GB-DGY,Дамфріс і Галловей,council area (scotland)
GB,GB-DND,Данді,council area (scotland)
GB,GB-EAY,Східний Ершир,council area (scotland)
GB,GB-EDU,Східний Данбартоншир,council area (scotland)
GB,GB-ELN,Східний Лотіан,council area (scotland)
GB,GB-ERW,Східний Ренфрюшир,council area (scotland)
GB,GB-ERY,Східний Йоркширський Райдінг,unitary authority
GB,GB-ESX,Східний Сассекс,two-tier county
GB,GB-EDH,Единбург,council area (scotland)
GB,GB-ENF,Енфілд,borough
GB,GB-ESS,Ессекс,two-tier county
GB,GB-FAL,Фолкерк,council area (scotland)
GB,GB-FIF,Файф,council area (scotland)
